page_title,page_views,back_links_count,page_size (bytes)
"""James Joyce Award""",20,125,21302
"""List of parliamentary constituencies in Norfolk""",67,125,40648
"""Yamakita, Kanagawa""",9,125,10454
"""Hikikomi gaeshi""",11,125,1978
"""Nonce""",199,124,655
"""Aupeo""",26,124,14659
"""2024–25 Rochdale A.F.C. season""",43,124,47409
"""1997 in radio""",13,124,6019
"""2017 Yokohama F. Marinos season""",2,123,5538
"""Peter Goalby""",22,123,5034
"""Nigel Ipinson""",31,122,5492
"""Camber thrust""",28,121,4869
"""Mithila Bihari""",5,121,7544
"""Incolornis""",8,121,1758
"""Crime in Saint Lucia""",28,121,4963
"""Paoletta Magoni""",4,121,3412
"""Ocean Andrew""",13,121,3133
"""The Genius Sings the Blues""",50,120,7921
"""Michael Clifford (musician)""",305,120,16771
"""Scabiosa""",91,120,10804
"""KVMV""",3,120,3205
"""Ratton School""",3,120,2568
"""Nick Serino""",12,120,3060
"""Listen to the Band (song)""",28,120,6645
"""David Oakley (bishop)""",4,119,3771
"""Ana de la Reguera""",779,119,16919
"""Mehlbek""",1,119,863
"""Cam Thủy, Quảng Bình""",2,119,3965
"""Maya HD""",28,119,4825
"""Pierre Belon""",30,118,10827
"""2023 in Liberia""",132,118,5980
"""2018 FIBA U16 European Championship""",4,118,9890
"""San Jose Sports & Entertainment Enterprises""",46,118,2889
"""Bill Kibby""",21,118,22965
"""1990 DieHard 500""",6,118,22710
"""Gallager carbine""",40,118,7233
"""Taylors Falls, Minnesota""",22,117,12800
"""Intention-to-treat analysis""",193,117,10774
"""Volleyball at the 1967 Pan American Games""",4,116,4103
"""2015 WGC-Bridgestone Invitational""",4,115,17078
"""Peter Raw""",18,115,35019
"""Kakhovka Dam""",206,115,33983
"""Robert Fick""",16,115,7526
"""Athletics at the 2015 Pan American Games – Men's marathon""",2,114,5405
"""Everything's Gone Green""",119,114,8106
"""The Bodyguard from Beijing""",259,113,11380
"""Korean Air Cargo Flight 6316""",53,113,10208
"""St Michael's Church, Llanfihangel Ysgeifiog""",6,113,14105
"""Paul Gait""",31,113,19430
"""Independent Spirit Award for Best Supporting Performance""",16,112,4249
"""1958 in Israel""",11,112,4952
"""Redick Tower""",3,111,4353
"""File sharing in the United Kingdom""",28,111,17811
"""Look into the Future""",189,111,5480
"""1964 AFC Youth Championship""",7,111,4678
"""Lagrange, Territoire de Belfort""",8,110,1692
"""Jamal Perry""",13,110,17465
"""Cláudio Castro""",24,110,9026
"""2019 Women's Afrobasket""",10,110,34031
"""Men's Irish Hockey League""",4,110,24799
"""Dengeki Bunko: Fighting Climax""",119,109,28152
"""Disability in Canada""",24,109,15734
"""Queen Mary's Song""",2,109,4798
"""Mayor Island / Tūhua""",0,108,13355
"""Everest Records""",12,108,14360
"""ASEAN PGA Tour""",13,108,26922
"""Deh Nush""",3,108,1818
"""Zdenko Kobeščak""",4,107,3920
"""Nylars""",5,107,1152
"""Pacode""",4,107,3571
"""Ulundi Local Municipality""",10,107,10335
"""Clive Middlemass""",6,107,5368
"""RAX-2""",6,107,14694
"""To Be Young""",7,107,6016
"""2024 Los Angeles FC 2 season""",1,106,19955
"""Berschweiler bei Baumholder""",4,106,6175
"""Lugano Tigers""",8,106,4785
"""Lanthanosuchidae""",3,105,1016
"""Prelude to Space""",21,105,5439
"""Kenny Hotz""",185,105,41599
"""1957 All-Ireland Minor Hurling Championship""",2,105,11360
"""Kylea Tink""",81,105,19518
"""Justin Parker""",47,105,9525
"""GMR (magazine)""",11,104,6352
"""Conservatory of Music of Puerto Rico""",15,104,9644
"""Jessie Ball duPont""",21,104,14855
"""Sriramapura""",4,104,4387
"""National Policy on Education""",471,103,16605
"""Handcross Park School""",10,103,6864
"""Pieroni""",1,103,782
"""Újezd u Plánice""",4,103,3601
"""Shafer Building""",3,103,3689
"""Nanobots (album)""",33,102,17122
"""Nigeria national under-19 cricket team""",7,102,4957
"""Gecəgözlü""",2,101,1182
"""Change (Miwa song)""",8,101,7802
"""Mohamed Abou Gabal""",95,101,13505
"""2012 World Junior Championships in Athletics – Women's hammer throw""",2,101,10554
"""Rivet High School (Vincennes, Indiana)""",3,101,5326
"""Frederick Ouseley""",5,101,6292
"""Winter X Games XX""",10,100,28213
"""Ski jumping at the 2010 Winter Olympics – Normal hill individual""",8,100,31710
"""Saint George and the Dragon (book)""",16,100,7230
"""Shreveport Steamer""",23,100,11599
"""Zhuangpiao""",3,100,28630
"""Dümpelfeld""",1,99,1157
"""Krepovsky""",2,99,2586
"""José Cevallos (footballer, born 1971)""",14,98,12935
"""Holywood, Dumfries and Galloway""",4,98,6084
"""Horace Fogel""",5,98,9239
"""Devon Bailey""",10,98,6838
"""Jon Montgomery""",54,97,13791
"""Hespeler, Ontario""",17,97,24778
"""Podkopná Lhota""",3,97,3545
"""Wandal, Sindagi""",1,97,4735
"""Clydach F.C.""",2,97,2222
"""Nigerian Railway Corporation""",50,97,20041
"""Sopota, Zagorje ob Savi""",1,97,4573
"""Vicious (Lou Reed song)""",25,96,4611
"""1988–89 Polska Liga Hokejowa season""",4,96,4389
"""2nd Alpini Regiment""",11,96,45761
"""Rousimar Palhares""",190,96,38221
"""DuPage Valley Conference""",13,95,22679
"""Dafydd Trystan Davies""",7,95,4018
"""2006 Perth V8 400""",3,94,36103
"""Kríže""",3,94,3384
"""Aleksandar Kolev""",186,94,23621
"""Philippines at the 2024 Winter Youth Olympics""",44,94,13945
"""Japanese High School Baseball Invitational Tournament""",25,94,5461
"""Blue Line (SacRT)""",50,93,16828
"""Kimberley Conrad""",693,92,5242
"""Rheinau (Baden)""",11,92,4152
"""Okere District""",6,92,5369
"""34th government of Turkey""",6,92,4484
"""Geastrum""",30,92,11915
"""1997 Auckland Warriors season""",2,92,18870
"""Hungerford Lock""",1,91,1313
"""Carmen Aristegui""",39,91,37871
"""13th Quebec Legislature""",6,91,16975
"""Venezuela national cerebral palsy football team""",7,90,13556
"""List of newspapers in Cambodia""",16,90,2282
"""South Africa and the World Bank""",2,90,3827
"""Wrestling at the 1988 Summer Olympics – Men's Greco-Roman 90 kg""",4,90,16993
"""Gregory B. Williams""",22,89,6792
"""List of Texas Tech University faculty""",8,89,30716
"""Ministry of Agriculture and Forestry (New Zealand)""",14,89,5424
"""Eurovoetbal""",5,88,6796
"""1996 LPGA Championship""",1,88,5084
"""Ghawiyah""",5,88,1942
"""Ankusam""",63,88,6296
"""La Música de Baldemar Huerta""",11,88,7076
"""Rabbinically prohibited activities of Shabbat""",52,88,4338
"""Oxley United FC""",2,88,9216
"""Magnitogorsk Iron and Steel Works""",98,87,20150
"""List of unbuilt autoroutes of Quebec""",13,86,29945
"""Dicmo""",9,86,6278
"""James Bonham""",52,86,8350
"""2015 Connecticut Sun season""",3,86,1527
"""Al Ameen (newspaper)""",29,86,5994
"""Barbados national football team results (2020–present)""",3,86,19532
"""West of Wyoming""",6,85,2078
"""Günter Kunert""",13,85,31341
"""Thomas Frankson""",2,85,3049
"""Shamabad, Razavi Khorasan""",1,84,7574
"""Miyako Ishiuchi""",22,84,9486
"""Wang Yuqing""",21,84,10770
"""Clintonite""",29,84,4985
"""Oscar François de Jarjayes""",91,83,22880
"""J. Moss""",67,83,8087
"""William A. Dawson""",5,83,4525
"""Lola T616""",6,82,17828
"""The Faith (1947 film)""",4,82,2441
"""2002 World Wrestling Championships – Men's freestyle 60 kg""",4,82,12463
"""F. G. Bailey""",10,81,7962
"""Rowing in the United States""",9,81,4525
"""Laurentian Voyageurs women's basketball""",8,81,13705
"""Morocco at the 1984 Winter Olympics""",3,81,2639
"""Woodford Wells""",5,80,2586
"""Yukarıbozan, Ilgaz""",1,80,1123
"""Salida del Sol Estates, Texas""",6,80,8486
"""Caleb Wiley House""",4,80,2751
"""Graeme Hallas""",3,80,8350
"""Jerry Keller""",14,79,6035
"""Armed Forces of the Philippines Command and General Staff College""",45,79,5916
"""1910 Haskell Indians football team""",1,79,3830
"""Teresa Hord Owens""",12,79,4057
"""Temettu""",4,79,3654
"""Santiago Salfate""",1,79,3293
"""Hawise, Duchess of Brittany""",27,79,3345
"""The Gold of Naples""",51,78,5654
"""Elyakhin""",10,78,3931
"""Dimcho Belyakov""",4,78,3977
"""William Wilson (Boardwalk Empire)""",13,78,13219
"""Sasha Pivovarova""",100,78,16950
